website|weeknumber|activity_level_label|url|season|statename|activity_level|weekend
Influenza|23|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jun-09-2012
Influenza Surveillance|24|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Jun-16-2012
Influenza|24|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jun-16-2012
Influenza Surveillance|25|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Jun-23-2012
Influenza|25|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jun-23-2012
Weekly Influenza Surveillance Reports|26|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Jun-30-2012
Influenza Information|26|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Jun-30-2012
Influenza Surveillance|26|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Jun-30-2012
Weekly Influenza Surveillance Reports|24|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Jun-16-2012
Influenza Information|24|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Jun-16-2012
Weekly Influenza Surveillance Reports|25|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Jun-23-2012
Influenza Information|25|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Jun-23-2012
Influenza Update|26|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Jun-30-2012
Influenza|26|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jun-30-2012
Communicable Disease and Immunizations|27|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Jul-07-2012
Influenza Surveillance|27|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Jul-07-2012
Weekly Influenza Surveillance Reports|27|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Jul-07-2012
Influenza Information|27|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Jul-07-2012
Influenza|27|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jul-07-2012
Influenza Surveillance|28|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Jul-14-2012
Weekly Influenza Surveillance Reports|28|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Jul-14-2012
Influenza Information|28|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Jul-14-2012
Influenza Update|27|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Jul-07-2012
Influenza Update|28|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Jul-14-2012
Influenza|28|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jul-14-2012
Weekly Influenza Surveillance Reports|29|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Jul-21-2012
Influenza Information|29|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Jul-21-2012
Influenza Surveillance|29|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Jul-21-2012
Influenza|29|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jul-21-2012
Weekly Influenza Surveillance Reports|30|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Jul-28-2012
Influenza Information|30|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Jul-28-2012
Influenza Surveillance|30|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Jul-28-2012
Influenza Update|29|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Jul-21-2012
Influenza Update|30|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Jul-28-2012
Influenza|30|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Jul-28-2012
Communicable Disease and Immunizations|31|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Aug-04-2012
Influenza Surveillance|31|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Aug-04-2012
Weekly Influenza Surveillance Reports|31|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Aug-04-2012
Influenza Information|31|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Aug-04-2012
Influenza Update|31|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Aug-04-2012
Influenza|31|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Aug-04-2012
Weekly Influenza Surveillance Reports|32|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Aug-11-2012
Influenza Information|32|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Aug-11-2012
Communicable Disease and Immunizations|32|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Aug-11-2012
Iowa Influenza Surveillance Network|32|Insufficient Data|http://idph.iowa.gov/influenza/surveillance|2011-12|Iowa|0|Aug-11-2012
Influenza Surveillance|32|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Aug-11-2012
Influenza Update|32|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Aug-11-2012
Influenza|32|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Aug-11-2012
Weekly Influenza Surveillance Reports|33|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Aug-18-2012
Influenza Information|33|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Aug-18-2012
Influenza Surveillance|33|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Aug-18-2012
Communicable Disease and Immunizations|33|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Aug-18-2012
Iowa Influenza Surveillance Network|33|Insufficient Data|http://idph.iowa.gov/influenza/surveillance|2011-12|Iowa|0|Aug-18-2012
Influenza Update|33|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Aug-18-2012
Influenza|33|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Aug-18-2012
Weekly Influenza Surveillance Reports|34|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Aug-25-2012
Influenza Information|34|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Aug-25-2012
Communicable Disease and Immunizations|34|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Aug-25-2012
Iowa Influenza Surveillance Network|34|Insufficient Data|http://idph.iowa.gov/influenza/surveillance|2011-12|Iowa|0|Aug-25-2012
Influenza Surveillance|34|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Aug-25-2012
Influenza Update|34|Insufficient Data|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|2011-12|Washington|0|Aug-25-2012
Influenza|34|Insufficient Data|http://doh.vi.gov/|2011-12|Virgin Islands|0|Aug-25-2012
Weekly Influenza Surveillance Reports|35|Insufficient Data|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|2011-12|Delaware|0|Sep-01-2012
Influenza Information|35|Insufficient Data|http://doh.dc.gov/page/influenza-season|2011-12|District of Columbia|0|Sep-01-2012
Influenza Surveillance|35|Insufficient Data|https://phpa.health.maryland.gov/influenza/fluwatch|2011-12|Maryland|0|Sep-01-2012
Communicable Disease and Immunizations|35|Insufficient Data|http://www.healthy.arkansas.gov/programs-services/topics/influenza|2011-12|Arkansas|0|Sep-01-2012
